FOLIO,P3_5,Ingreso mensual por trabajo,Registra ingresos y gastos,Anotaciones de gastos,Dinero separado para pagos y gastos diarios,Ingreso suficiente para cubrir gastos desde julio 2020,Préstamos a conocidos,Uso de ahorros,Reducción de gastos,Venta o empeño de bienes,Adelanto salarial/trabajo extra,Uso de tarjeta de crédito o préstamo bancario,Cursos sobre ahorro y presupuestos,Conocimiento básico de inflación,Enfoque en el presente,Gasto del dinero,Revisión detallada del dinero,Optimismo económico,Dinero suficiente para gastos,Tranquilidad financiera,Cuenta de ahorro,Ahorro en cuenta,Seguro,SEXO,EDAD,GRUPO_EDAD,Grupo_Ingreso
65,Trabajó por lo menos una hora,1800.0,Sí,No,No,No,Sí,Sí,Sí,Sí,No,No,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,Sí,Hombre,31,31-50,+1k
66,Trabajó por lo menos una hora,15000.0,Sí,No,Sí,No,No,Sí,Sí,No,No,No,No,Verdadera,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,Sí,Mujer,58,51-70,+10k
67,Trabajó por lo menos una hora,5000.0,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,No,,No,Mujer,18,18-30,+5k
68,Trabajó por lo menos una hora,500.0,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Verdadera,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,No,,No,Mujer,53,51-70,0-1k
69,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,Sí,,,,,,,No,Verdadera,No responde,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,75,71+,
70,Trabajó por lo menos una hora,2000.0,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,34,31-50,+1k
71,Trabajó por lo menos una hora,1800.0,No,No,Sí,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No,,No,Hombre,57,51-70,+1k
72,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No,,No,Mujer,30,31-50,
73,Es jubilada(o) o pensionada(o),,No,No,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,54,51-70,
74,No trabajó,1000.0,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No,,No,Mujer,53,51-70,+1k
75,Trabajó por lo menos una hora,700.0,Sí,No,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,No,,No,Hombre,29,18-30,0-1k
76,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,No,,No,Mujer,30,31-50,
77,Trabajó por lo menos una hora,2000.0,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No,,No,Mujer,27,18-30,+1k
78,Es jubilada(o) o pensionada(o),,No,No,No,No,No,No,Sí,Sí,No,No,No,Verdadera,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,63,51-70,
79,Trabajó por lo menos una hora,4000.0,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,No,,Sí,Hombre,38,31-50,+1k
80,Es jubilada(o) o pensionada(o),,Sí,No,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,No sabe,De acuerdo,No,,No,Hombre,78,71+,
81,Trabajó por lo menos una hora,1500.0,No,No,No,Sí,,,,,,,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Sí,No,No,Hombre,54,51-70,+1k
82,Trabajó por lo menos una hora,2000.0,No,No,No,No,No,No,Sí,No,No,No,No,Verdadera,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,58,51-70,+1k
83,Trabajó por lo menos una hora,1500.0,No,No,Sí,No,Sí,Sí,Sí,Sí,No,No,No,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,32,31-50,+1k
84,Trabajó por lo menos una hora,10000.0,Sí,Sí,Sí,Sí,,,,,,,Sí,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Hombre,32,31-50,+10k
85,Trabajó por lo menos una hora,1000.0,No,No,Sí,Sí,,,,,,,No,No sabe,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No,,No,Hombre,24,18-30,+1k
86,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,Sí,No,Sí,No,Sí,Sí,No,No,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,59,51-70,
87,Trabajó por lo menos una hora,1500.0,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,25,18-30,+1k
88,Trabajó por lo menos una hora,2600.0,No,No,Sí,No,Sí,No,Sí,Sí,No,No,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,No,,No,Hombre,18,18-30,+1k
89,Trabajó por lo menos una hora,1400.0,No,No,Sí,No,No,Sí,Sí,No,No,No,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,54,51-70,+1k
90,Trabajó por lo menos una hora,10000.0,No,No,No,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,Sí,Hombre,29,18-30,+10k
91,Trabajó por lo menos una hora,2100.0,No,No,No,No,Sí,No,Sí,No,No,No,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,Sí,Hombre,45,31-50,+1k
92,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,Sí,,,,,,,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,22,18-30,
93,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,500.0,Sí,No,Sí,No,Sí,No,Sí,No,No,No,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,55,51-70,0-1k
94,Trabajó por lo menos una hora,5000.0,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Sí,Sí,No,Hombre,25,18-30,+5k
