FOLIO,P3_5,Ingreso mensual por trabajo,Registra ingresos y gastos,Anotaciones de gastos,Dinero separado para pagos y gastos diarios,Ingreso suficiente para cubrir gastos desde julio 2020,Préstamos a conocidos,Uso de ahorros,Reducción de gastos,Venta o empeño de bienes,Adelanto salarial/trabajo extra,Uso de tarjeta de crédito o préstamo bancario,Cursos sobre ahorro y presupuestos,Conocimiento básico de inflación,Enfoque en el presente,Gasto del dinero,Revisión detallada del dinero,Optimismo económico,Dinero suficiente para gastos,Tranquilidad financiera,Cuenta de ahorro,Ahorro en cuenta,Seguro,SEXO,EDAD,GRUPO_EDAD,Grupo_Ingreso
7492,Trabajó por lo menos una hora,8000.0,Sí,Sí,No,No,No,No,No,No,No,No,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,No,Mujer,45,31-50,+5k
7493,No trabajó,,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,49,31-50,
7494,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,Sí,Sí,Sí,Sí,,,,,,,No,No sabe,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,20,18-30,
7494,No trabajó,,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,39,31-50,
7495,No trabajó,,No,No,No,No,No,No,No,No,No,No,No,Verdadera,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,20,18-30,
7496,No trabajó,,No,No,No,No,Sí,No,No,No,No,No,No,Verdadera,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,47,31-50,
7497,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,No,No,Sí,Sí,No,No,No,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,53,51-70,
7498,Trabajó por lo menos una hora,5000.0,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,Sí,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,Sí,Mujer,43,31-50,+5k
7499,Trabajó por lo menos una hora,3000.0,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,Sí,Hombre,46,31-50,+1k
7500,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,Sí,No,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,60,51-70,
7501,No trabajó,,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Sí,Sí,Sí,Hombre,62,51-70,
7502,Trabajó por lo menos una hora,10000.0,Sí,No,No,No,No,No,No,No,No,No,No,Verdadera,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,47,31-50,+10k
7503,Trabajó por lo menos una hora,3000.0,No,Sí,No,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,No,Hombre,23,18-30,+1k
7504,Trabajó por lo menos una hora,1500.0,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,Sí,Mujer,21,18-30,+1k
7505,Trabajó por lo menos una hora,1200.0,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,No,No,Falsa,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,No,Mujer,21,18-30,+1k
7506,Trabajó por lo menos una hora,12000.0,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No,,No,Hombre,48,31-50,+10k
7507,Es jubilada(o) o pensionada(o),,No,No,No,No,No,No,Sí,No,No,No,No,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,69,51-70,
7508,Trabajó por lo menos una hora,13000.0,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,No,Mujer,25,18-30,+10k
7509,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,Sí,,,,,,,No,No sabe,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,36,31-50,
7510,Trabajó por lo menos una hora,1200.0,No,No,No,No,No,No,Sí,No,No,No,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Sí,No,No,Mujer,47,31-50,+1k
7511,No trabajó,,No,Sí,Sí,No,No,No,No,No,No,No,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,42,31-50,
7512,Trabajó por lo menos una hora,99888.0,Sí,No,No,No,No,No,Sí,No,No,No,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,Sí,Mujer,31,31-50,No responde
7513,Trabajó por lo menos una hora,13000.0,No,No,No,No,No,No,Sí,No,No,Sí,Sí,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,Sí,Mujer,29,18-30,+10k
7514,No trabajó,,No,Sí,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,37,31-50,
7515,Trabajó por lo menos una hora,500.0,No,No,Sí,No,No,No,No,No,No,No,Sí,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,46,31-50,0-1k
7516,Trabajó por lo menos una hora,10000.0,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,No,,Sí,Hombre,45,31-50,+10k
7517,Trabajó por lo menos una hora,22000.0,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,Sí,Hombre,54,51-70,+20k
7518,Trabajó por lo menos una hora,2300.0,Sí,Sí,Sí,No,Sí,Sí,No,No,No,No,No,Verdadera,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,18,18-30,+1k
7519,Trabajó por lo menos una hora,2500.0,Sí,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Hombre,48,31-50,+1k
7520,Trabajó por lo menos una hora,2500.0,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,No,,No,Hombre,49,31-50,+1k
7521,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,32,31-50,
7522,Trabajó por lo menos una hora,3100.0,Sí,No,Sí,No,Sí,No,No,Sí,No,No,No,Verdadera,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,No,Hombre,72,71+,+1k
7523,Es estudiante,,No,No,No,Sí,,,,,,,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Hombre,18,18-30,
7524,Trabajó por lo menos una hora,1200.0,No,No,Sí,No,Sí,No,Sí,No,No,No,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,33,31-50,+1k
7525,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,Sí,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,67,51-70,
7526,Trabajó por lo menos una hora,2100.0,No,No,Sí,No,Sí,No,Sí,No,No,No,No,Falsa,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Hombre,41,31-50,+1k
7527,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,No,,No,Mujer,36,31-50,
7528,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,Sí,Sí,Sí,No,Sí,No,Sí,No,No,No,No,Verdadera,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,No,,No,Mujer,42,31-50,
7529,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,34,31-50,
7530,Trabajó por lo menos una hora,10000.0,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,33,31-50,+10k
7531,Trabajó por lo menos una hora,3700.0,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Hombre,49,31-50,+1k
7532,Trabajó por lo menos una hora,23000.0,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,No,Hombre,48,31-50,+20k
7533,Trabajó por lo menos una hora,20000.0,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,No,,Sí,Mujer,41,31-50,+20k
7534,Trabajó por lo menos una hora,99888.0,No,Sí,No,No,No,Sí,No,No,No,No,No,Verdadera,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,41,31-50,No responde
7535,Trabajó por lo menos una hora,18000.0,No,No,No,No,Sí,Sí,No,No,No,No,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,35,31-50,+10k
7536,Trabajó por lo menos una hora,12000.0,Sí,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Hombre,48,31-50,+10k
7537,Trabajó por lo menos una hora,20000.0,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,No,Hombre,48,31-50,+20k
7538,Trabajó por lo menos una hora,1200.0,Sí,No,Sí,No,Sí,No,No,No,Sí,No,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,No,Hombre,33,31-50,+1k
7539,Trabajó por lo menos una hora,1700.0,No,No,No,No,No,No,No,No,No,No,No,Falsa,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,40,31-50,+1k
7540,Trabajó por lo menos una hora,900.0,Sí,Sí,Sí,No,No,No,No,No,No,No,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,55,51-70,0-1k
7541,Trabajó por lo menos una hora,15000.0,No,No,No,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,42,31-50,+10k
7542,Trabajó por lo menos una hora,9000.0,No,No,No,No,No,No,No,No,No,No,No,Falsa,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No,,No,Hombre,32,31-50,+5k
7543,Trabajó por lo menos una hora,1500.0,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No responde,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,42,31-50,+1k
7544,Trabajó por lo menos una hora,2300.0,No,No,No,No,No,Sí,No,No,No,No,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,50,51-70,+1k
7545,Buscó trabajo,,No,No,No,No,Sí,No,No,No,No,No,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,20,18-30,
7546,Trabajó por lo menos una hora,2000.0,No,No,No,No,Sí,No,Sí,No,No,No,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No sabe,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,53,51-70,+1k
7547,Trabajó por lo menos una hora,18000.0,No,No,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,No,Mujer,32,31-50,+10k
7548,Trabajó por lo menos una hora,3000.0,No,Sí,Sí,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Hombre,33,31-50,+1k
7549,Trabajó por lo menos una hora,15000.0,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,No,Sí,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,Sí,Mujer,26,18-30,+10k
7550,Trabajó por lo menos una hora,10000.0,No,No,Sí,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Hombre,35,31-50,+10k
7551,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,Sí,Sí,Sí,Sí,,,,,,,Sí,Verdadera,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sí,No,Sí,Mujer,48,31-50,
7552,Trabajó por lo menos una hora,99888.0,No,No,No,No,No,No,No,No,No,No,No,No sabe,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,19,18-30,No responde
7553,Trabajó por lo menos una hora,30000.0,Sí,Sí,Sí,Sí,,,,,,,Sí,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sí,No,Sí,Mujer,65,51-70,+30k
7554,Trabajó por lo menos una hora,500.0,No,No,Sí,No,Sí,No,Sí,No,No,No,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,63,51-70,0-1k
7555,Trabajó por lo menos una hora,2000.0,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,No,,Sí,Hombre,39,31-50,+1k
7556,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Sí,Sí,No,Mujer,47,31-50,
7557,Es jubilada(o) o pensionada(o),1000.0,No,No,Sí,No,No,No,No,No,No,No,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,69,51-70,+1k
7558,Está incapacitada(o) permanentemente para trabajar,,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,94,71+,
7559,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,Sí,No,Sí,No,Sí,No,No,No,No,Verdadera,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,66,51-70,
7560,Trabajó por lo menos una hora,1700.0,No,No,Sí,No,No,No,No,No,No,No,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,46,31-50,+1k
7561,Trabajó por lo menos una hora,1200.0,No,No,Sí,No,No,No,Sí,No,No,No,No,Verdadera,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,72,71+,+1k
7562,Trabajó por lo menos una hora,700.0,No,No,Sí,No,Sí,No,Sí,No,No,No,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No,,No,Hombre,71,71+,0-1k
7563,Está incapacitada(o) permanentemente para trabajar,,No,No,No,No,No,No,Sí,No,No,No,No,Verdadera,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,83,71+,
7564,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,Sí,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,No,Mujer,87,71+,
7565,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,42,31-50,
7566,Trabajó por lo menos una hora,3000.0,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Mujer,30,31-50,+1k
7567,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,Sí,No,No,No,Sí,No,No,No,No,Verdadera,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,No,Sí,Mujer,41,31-50,
7568,Trabajó por lo menos una hora,9000.0,No,No,Sí,No,Sí,No,Sí,No,No,No,No,Falsa,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,No,,Sí,Hombre,49,31-50,+5k
7569,Trabajó por lo menos una hora,1500.0,No,No,Sí,No,Sí,Sí,Sí,No,No,No,No,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,50,51-70,+1k
7570,Trabajó por lo menos una hora,18000.0,Sí,No,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,No,Hombre,39,31-50,+10k
7571,Trabajó por lo menos una hora,4000.0,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,No,Mujer,21,18-30,+1k
7572,Trabajó por lo menos una hora,3000.0,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Sí,Sí,No,Mujer,40,31-50,+1k
7573,Trabajó por lo menos una hora,4000.0,No,No,No,No,No,No,Sí,No,Sí,No,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,No,Hombre,30,31-50,+1k
7574,Trabajó por lo menos una hora,20000.0,Sí,Sí,Sí,No,No,Sí,No,No,No,No,Sí,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Mujer,39,31-50,+20k
7575,Trabajó por lo menos una hora,1500.0,Sí,Sí,Sí,No,Sí,No,Sí,Sí,No,No,No,Verdadera,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,50,51-70,+1k
7576,Trabajó por lo menos una hora,3800.0,Sí,No,Sí,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No,,Sí,Mujer,49,31-50,+1k
7577,Es jubilada(o) o pensionada(o),,No,Sí,Sí,No,Sí,No,Sí,Sí,No,No,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Sí,Sí,Sí,Hombre,61,51-70,
7578,Trabajó por lo menos una hora,25000.0,No,No,No,Sí,,,,,,,Sí,Verdadera,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,Sí,Hombre,43,31-50,+20k
7579,Trabajó por lo menos una hora,600.0,No,No,No,No,No,No,Sí,No,No,Sí,No,Verdadera,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,98,71+,0-1k
7580,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,Sí,,,,,,,No,No sabe,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,58,51-70,
7581,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Sí,Sí,No,Mujer,29,18-30,
7582,Trabajó por lo menos una hora,2700.0,No,Sí,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,28,18-30,+1k
7583,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No,,No,Mujer,46,31-50,
7584,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,Sí,No,Sí,No,Sí,No,No,No,No,Falsa,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,No,Mujer,39,31-50,
7585,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,Verdadera,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Sí,Sí,Sí,Mujer,43,31-50,
7586,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,500.0,No,Sí,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,70,71+,0-1k
7587,Está incapacitada(o) permanentemente para trabajar,,No,No,Sí,No,Sí,No,Sí,No,No,No,No,Verdadera,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Hombre,74,71+,
7588,Trabajó por lo menos una hora,1400.0,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,No,Mujer,20,18-30,+1k
